,company_name,rating,description,highly rated for,critically rated for
39,HDFC Life,4.1,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +555 more,"Skill Development / Learning, Job Security, Company Culture",--
40,Bajaj Finserv,4.1,Financial Services | 50k-1 Lakh Employees | Public | 17 years old | Pune +875 more,"Salary & Benefits, Skill Development / Learning, Job Security",--
41,Mphasis,3.5,IT Services & Consulting | 10k-50k Employees | Public | 26 years old | Bangalore/Bengaluru +50 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
42,PwC,3.6,Management Consulting | 10k-50k Employees | Conglomerate | 144 years old | London +92 more,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
43,Startek,3.3,BPO | 10k-50k Employees | Public | 7 years old | Mumbai +72 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
44,HSBC Group,4.1,Banking | 10k-50k Employees | Forbes Global 2000 | 22 years old | Pune +58 more,"Job Security, Work Life Balance, Company Culture",--
45,Hinduja Global Solutions,4.0,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Bangalore/Bengaluru +100 more,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
46,Samsung,4.1,Consumer Electronics & Appliances | 50k-1 Lakh Employees | Public | 55 years old | Seoul +502 more,"Salary & Benefits, Skill Development / Learning, Job Security",--
47,Ericsson,4.3,Telecom | 10k-50k Employees | Forbes Global 2000 | 148 years old | Stockholm +151 more,"Company Culture, Work Life Balance, Job Security",--
48,Maruti Suzuki,4.3,Automobile | 10k-50k Employees | Public | 43 years old | New Delhi +377 more,"Job Security, Salary & Benefits, Skill Development / Learning",--
49,Shriram Finance,4.1,NBFC | 50k-1 Lakh Employees | Public | 45 years old | Mumbai +953 more,"Job Security, Skill Development / Learning, Work Life Balance",--
50,Asian Paints,4.1,Chemicals | 5k-10k Employees | Public | 82 years old | Mumbai +431 more,"Salary & Benefits, Skill Development / Learning, Job Security",--
51,Yes Bank,3.9,Banking | 10k-50k Employees | Public | 20 years old | Mumbai +438 more,"Salary & Benefits, Work Life Balance",--
