,company_name,rating,description,highly rated for,critically rated for
170,Deutsche Bank,4.1,Banking | 10k-50k Employees | Fortune India 500 | 154 years old | Frankfurt +38 more,"Job Security, Work Life Balance, Company Culture",--
171,CARS24,3.7,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Gurgaon +150 more,--,"Job Security, Promotions / Appraisal, Work Satisfaction"
172,Team Lease,4.0,Recruitment | 1k-5k Employees | Public | 8 years old | Bangalore/Bengaluru +303 more,--,Promotions / Appraisal
173,Subros,4.0,Auto Components | 1k-5k Employees | Public | 39 years old | Noida +57 more,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
174,Sodexo,4.1,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 16 years old | Issy les Moulineaux +131 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
175,Abbott,4.1,Pharma | 10k-50k Employees | Public | 33 years old | Illinois City +171 more,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal
176,VE Commercial Vehicles,4.0,Automobile | 1k-5k Employees | 16 years old | Gurgaon/Gurugram +127 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
177,Whitehat jr,3.5,EdTech | 5k-10k Employees | Startup | 6 years old | Mumbai +50 more,--,"Job Security, Promotions / Appraisal, Work Life Balance"
178,Indian Oil Corporation,4.5,Oil & Gas | 10k-50k Employees | Fortune India 500 | 65 years old | Delhi/NCR +251 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
179,Ford Motor,4.5,Automobile | 5k-10k Employees | Public | 121 years old | Dearborn +112 more,"Company Culture, Work Life Balance, Salary & Benefits",--
180,Tata Capital,4.2,NBFC | 5k-10k Employees | Fortune India 500 | 17 years old | Mumbai +229 more,"Job Security, Company Culture, Skill Development / Learning",--
181,Automatic Data Processing (ADP),4.1,Software Product | 1k-5k Employees | Forbes Global 2000 | 75 years old | New Jersey +25 more,"Job Security, Company Culture, Work Life Balance",--
182,Bharat Electronics,4.2,Electronics Manufacturing | 5k-10k Employees | Fortune India 500 | 70 years old | Bangalore/Bengaluru +51 more,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
183,Cummins,4.4,Industrial Machinery | 1k-5k Employees | Fortune India 500 | 62 years old | Columbus +83 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
184,Access Healthcare,4.0,IT Services & Consulting | 5k-10k Employees | 13 years old | Dallas +30 more,"Job Security, Company Culture",--
185,American Express,4.3,Financial Services | 10k-50k Employees | Forbes Global 2000 | 174 years old | New York City +44 more,"Company Culture, Work Life Balance, Job Security",--
186,Alembic Pharmaceuticals,4.1,Pharma | 10k-50k Employees | Public | 117 years old | Vadodara/Baroda +150 more,"Salary & Benefits, Work Life Balance",--
187,R1 RCM,4.0,Healthcare | 5k-10k Employees | 17 years old | Murray +32 more,"Job Security, Company Culture, Work Life Balance",--
188,Pidilite Industries,4.4,Chemicals | 5k-10k Employees | Public | 65 years old | Mumbai +236 more,"Job Security, Company Culture, Work Life Balance",--
189,ITC Infotech,3.7,IT Services & Consulting | 10k-50k Employees | 24 years old | Bangalore/Bengaluru +52 more,--,"Promotions / Appraisal, Salary & Benefits"
190,UnitedHealth,4.1,Healthcare | 10k-50k Employees | Forbes Global 2000 | 47 years old | Minnetonka +16 more,"Job Security, Work Life Balance, Company Culture",--
191,Hindalco Industries,4.3,Metals & Mining | 10k-50k Employees | Public | 66 years old | Mumbai +86 more,"Job Security, Skill Development / Learning, Company Culture",--
192,Tata AIA Life Insurance,4.1,Insurance | 10k-50k Employees | 23 years old | Mumbai +324 more,"Job Security, Salary & Benefits, Skill Development / Learning",--
193,Alkem Laboratories,4.0,Pharma | 10k-50k Employees | Public | 51 years old | Mumbai +161 more,--,--
194,Publicis Sapient,3.6,IT Services & Consulting | 10k-50k Employees | 34 years old | New York +26 more,--,"Promotions / Appraisal, Job Security, Work Satisfaction"
195,Atos,3.8,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 27 years old | Vilnius +41 more,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
196,Aakash Educational Services,3.6,EdTech | 5k-10k Employees | 36 years old | New Delhi +203 more,--,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
197,DCB Bank,3.9,Banking | 5k-10k Employees | Fortune India 500 | 94 years old | Mumbai +304 more,"Job Security, Work Life Balance, Company Culture",--
198,Utkarsh Small Finance Bank,3.9,Banking | 10k-50k Employees | Public | 15 years old | Varanasi +296 more,Job Security,--
199,Indian Air Force,4.7,Defence & Aerospace | 1 Lakh+ Employees | 92 years old | New Delhi +111 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
200,Hindustan Coca Cola Beverages,4.3,Beverage | 5k-10k Employees | 27 years old | Bangalore +218 more,"Skill Development / Learning, Job Security, Salary & Benefits",--
201,Vishal Mega Mart,3.8,Retail | 10k-50k Employees | 16 years old | Gurgaon/Gurugram +318 more,Salary & Benefits,"Company Culture, Work Satisfaction, Job Security"
202,Glenmark Pharmaceuticals,4.0,Pharma | 10k-50k Employees | Public | 47 years old | Mumbai +140 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
203,Barclays,4.0,Banking | 10k-50k Employees | Forbes Global 2000 | 334 years old | London +31 more,"Job Security, Company Culture, Salary & Benefits",--
204,Berger Paints,3.8,Chemicals | 1k-5k Employees | Public | 101 years old | Kolkata +247 more,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
205,Marpu Foundation,4.9,Non-Profit | 51-200 Employees | 8 years old | Hyderabad/Secunderabad +54 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
206,Ipca Laboratories,4.0,Pharma | 10k-50k Employees | Public | 75 years old | Mumbai +125 more,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
207,Maersk,4.3,Logistics | 10k-50k Employees | 120 years old | Copenhagen +35 more,"Company Culture, Work Life Balance, Job Security",--
208,Jindal Steel and Power,4.0,Iron & Steel | 5k-10k Employees | Fortune India 500 | 45 years old | Delhi/NCR +117 more,"Skill Development / Learning, Job Security",Promotions / Appraisal
209,Bank of America,4.4,Banking | 10k-50k Employees | Fortune India 500 | 26 years old | Charlotte +30 more,"Job Security, Work Life Balance, Company Culture",--
210,DTDC Express,3.8,Logistics | 1k-5k Employees | 34 years old | Bangalore/Bengaluru +228 more,--,"Promotions / Appraisal, Salary & Benefits"
211,ABB Group,4.1,Industrial Automation | 1k-5k Employees | Public | 36 years old | Zurich +96 more,"Job Security, Company Culture, Work Life Balance",--
212,Aarti Industries,4.2,Agro Chemicals | 5k-10k Employees | Public | 49 years old | Mumbai +43 more,"Job Security, Work Life Balance, Skill Development / Learning",--
213,24/7 Customer,3.6,BPO | 5k-10k Employees | 24 years old | San Jose +25 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
214,Wipro Infotech,4.0,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 79 years old | Bangalore +117 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
215,Honda Motorcycle & Scooter,4.2,Automobile | 10k-50k Employees | 25 years old | Gurgaon/Gurugram +213 more,"Job Security, Company Culture, Work Life Balance",--
216,HDFC Ergo General Insurance,4.1,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +232 more,"Job Security, Company Culture, Work Life Balance",--
217,Johnson Controls,3.7,Industrial Automation | 5k-10k Employees | Public | 139 years old | Cork +48 more,--,Promotions / Appraisal
218,Carelon Global Solutions,4.0,IT Services & Consulting | 10k-50k Employees | Hyderabad / Secunderabad +12 more,"Job Security, Salary & Benefits, Company Culture",--
219,NatWest Group,4.1,Banking | 10k-50k Employees | Forbes Global 2000 | Gurgaon / Gurugram +22 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
220,CMS IT Services,3.1,IT Services & Consulting | 5k-10k Employees | Startup | 10 years old | Bangalore +137 more,--,"Promotions / Appraisal, Salary & Benefits, Company Culture"
221,PolicyBazaar,3.5,Internet | 10k-50k Employees | Public | 16 years old | Gurgaon +87 more,--,"Work Life Balance, Promotions / Appraisal, Company Culture"
222,Cogent E Services,3.4,BPO | 10k-50k Employees | Conglomerate | 20 years old | Noida +36 more,--,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
223,RBL Bank,3.8,Banking | 10k-50k Employees | Public | 81 years old | Mumbai +224 more,--,Promotions / Appraisal
224,Reliance Nippon Life Insurance,3.9,Insurance | 10k-50k Employees | 24 years old | Mumbai +431 more,--,--
225,MRF Tyres,3.8,Auto Components | 10k-50k Employees | Public | 78 years old | Chennai +163 more,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
226,Paras Hospital,4.6,Healthcare | 1k-5k Employees | 18 years old | Gurgaon/Gurugram +47 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
227,PNB MetLife,3.5,Insurance | 5k-10k Employees | Conglomerate | 23 years old | Mumbai +324 more,--,"Job Security, Work Satisfaction, Promotions / Appraisal"
228,Reliance Digital,4.3,Retail | 5k-10k Employees | 17 years old | Mumbai +308 more,"Job Security, Skill Development / Learning, Company Culture",--
229,Wipro Consumer Care & Lighting,3.9,FMCG | 1k-5k Employees | 79 years old | Bangalore/Bengaluru +94 more,Job Security,Promotions / Appraisal
230,Jubilant Foods Works,3.9,Hospitality | 10k-50k Employees | Public | 29 years old | Noida +197 more,"Skill Development / Learning, Salary & Benefits",--
231,Escorts Kubota Limited,4.1,Automobile | 1k-5k Employees | Public | 64 years old | Faridabad +136 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
232,GeBBS Healthcare Solutions,3.7,BPO | 5k-10k Employees | 19 years old | Culver City +18 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
233,Ceat Tyres,4.1,Auto Components | 5k-10k Employees | Public | 66 years old | Mumbai +114 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
234,Kotak Mahindara Life Insurance,3.9,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +210 more,Job Security,--
235,Dabur,3.9,FMCG | 5k-10k Employees | Public | 140 years old | Ghaziabad +250 more,--,Promotions / Appraisal
236,Axis Direct,3.9,Financial Services | 1k-5k Employees | 13 years old | San Mateo +271 more,--,Promotions / Appraisal
237,Conduent,3.6,BPO | 5k-10k Employees | 7 years old | Florham Park +21 more,--,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
238,JK Cement,4.2,Building Material | 1k-5k Employees | Public | 50 years old | Gurgaon/Gurugram +238 more,"Salary & Benefits, Company Culture, Job Security",--
239,IndiGo,3.6,Aviation | 10k-50k Employees | Fortune India 500 | 19 years old | Gurgaon/Gurugram +89 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
240,Shoppers Stop,4.1,Retail | 5k-10k Employees | Public | 33 years old | Mumbai +64 more,"Job Security, Company Culture, Skill Development / Learning",--
241,Synechron,3.8,IT Services & Consulting | 5k-10k Employees | 23 years old | New York +26 more,"Salary & Benefits, Skill Development / Learning, Company Culture",Job Security
242,ACC,3.9,Building Material | 5k-10k Employees | Public | 88 years old | Mumbai +212 more,--,Promotions / Appraisal
243,Birlasoft,3.8,IT Services & Consulting | 10k-50k Employees | Public | 29 years old | Pune +34 more,--,"Promotions / Appraisal, Salary & Benefits"
244,HARMAN,3.8,Consumer Electronics & Appliances | 5k-10k Employees | Public | 15 years old | Stamford +28 more,Work Life Balance,Promotions / Appraisal
245,Lenskart,3.3,Internet | 5k-10k Employees | Indian Unicorn | 14 years old | Faridabad +165 more,--,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
246,ArcelorMittal Nippon Steel,4.1,Iron & Steel | 5k-10k Employees | Conglomerate | Surat +66 more,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
247,Indiabulls Home Loans,3.9,NBFC | 5k-10k Employees | Public | 19 years old | Gurgaon/Gurugram +190 more,--,Promotions / Appraisal
248,GATI-KWE,4.0,Logistics | 1k-5k Employees | 12 years old | Hyderabad/Secunderabad +158 more,"Skill Development / Learning, Job Security",Promotions / Appraisal
249,Reliance SMSL,4.0,BPO | 1k-5k Employees | Public | 17 years old | Mumbai +483 more,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal
250,KPIT Technologies,3.6,Software Product | 5k-10k Employees | Public | 34 years old | Pune +32 more,--,"Promotions / Appraisal, Job Security, Work Satisfaction"
251,PepsiCo,4.2,Food Processing | 1 Lakh+ Employees | Public | 59 years old | Harrison +228 more,"Job Security, Company Culture, Skill Development / Learning",--
252,UPL,4.2,Agro Chemicals | 5k-10k Employees | Public | 55 years old | Mumbai +159 more,"Job Security, Skill Development / Learning, Work Life Balance",--
253,S&P Global,4.2,Analytics & KPO | 10k-50k Employees | Public | 107 years old | New York City +24 more,"Company Culture, Work Life Balance, Job Security",--
254,Torrent Pharmaceuticals,3.9,Pharma | 10k-50k Employees | Public | 53 years old | Ahmedabad +100 more,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
255,Dilip Buildcon,4.0,Engineering & Construction | 10k-50k Employees | Public | 37 years old | Bhopal +184 more,"Skill Development / Learning, Work Satisfaction",--
256,RSPL Group,4.2,FMCG | 10k-50k Employees | 37 years old | Mumbai +202 more,"Job Security, Skill Development / Learning, Work Life Balance",--
257,Square Yards,3.9,Internet | 1k-5k Employees | 11 years old | Gurgaon +41 more,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",--
258,Titan Company,4.4,Retail | 5k-10k Employees | Public | 40 years old | Bangalore +142 more,"Company Culture, Job Security, Skill Development / Learning",--
259,Tech Mahindra Business Services,3.5,BPO | 5k-10k Employees | Public | 21 years old | Mumbai +46 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
260,TVS Credit,4.5,NBFC | 10k-50k Employees | Public | 16 years old | Chennai +305 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
261,Wipro Enterprises Ltd,3.9,IT Services & Consulting | 501-1k Employees | 79 years old | Bangalore +96 more,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
262,Tata AIG,4.2,Insurance | 5k-10k Employees | 24 years old | Mumbai +222 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
263,Bajaj Electricals,4.1,Consumer Electronics & Appliances | 1k-5k Employees | Public | 86 years old | Mumbai +194 more,"Salary & Benefits, Company Culture, Work Life Balance",--
264,EY Global Delivery Services ( EY GDS),3.7,Accounting & Auditing | 50k-1 Lakh Employees | 22 years old | Bangalore/Bengaluru +38 more,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Work Life Balance"
265,IDFC FIRST Bharat,4.6,NBFC | 10k-50k Employees | 8 years old | Tiruchirappalli +302 more,"Salary & Benefits, Job Security, Company Culture",--
266,Statestreet HCL Services,3.3,BPO | 5k-10k Employees | 12 years old | New Delhi +16 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
267,Alstom Transportation,3.9,Engineering & Construction | 5k-10k Employees | Forbes Global 2000 | 96 years old | Saint-Ouen +66 more,Job Security,Promotions / Appraisal
268,Aditya Birla Sun Life Insurance,4.2,Insurance | 10k-50k Employees | 24 years old | Mumbai +371 more,"Job Security, Company Culture, Work Life Balance",--
269,IGT Solutions,3.4,BPO | 5k-10k Employees | 26 years old | Gurgaon/Gurugram +29 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
270,Afcons Infrastructure,4.4,Engineering & Construction | 5k-10k Employees | 65 years old | Mumbai +98 more,"Job Security, Skill Development / Learning, Company Culture",--
271,Apollo Tyres,4.1,Auto Components | 5k-10k Employees | Public | 52 years old | Gurgaon/Gurugram +149 more,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
272,Simplex Infrastructures,3.3,Engineering & Construction | 1k-5k Employees | Public | 100 years old | Kolkata +132 more,--,"Salary & Benefits, Promotions / Appraisal, Company Culture"
273,Mankind Pharma,4.1,Pharma | 10k-50k Employees | Fortune India 500 | 29 years old | New Delhi +191 more,"Salary & Benefits, Skill Development / Learning, Work Life Balance",--
274,Domino's Pizza,4.0,Hospitality | 1k-5k Employees | Public | 64 years old | Ypsilanti +215 more,"Skill Development / Learning, Salary & Benefits",--
275,Suzlon Group,4.2,Power | 5k-10k Employees | Public | 29 years old | Pune +107 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
276,Zensar Technologies,3.8,IT Services & Consulting | 5k-10k Employees | Public | 23 years old | Pune +22 more,Work Life Balance,Promotions / Appraisal
277,Flex,4.2,Electronics Manufacturing | 5k-10k Employees | Forbes Global 2000 | 55 years old | San Jose +39 more,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
278,Capita,3.8,IT Services & Consulting | 5k-10k Employees | 19 years old | Indore +24 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
279,State Street Corporation,3.8,Financial Services | 10k-50k Employees | Forbes Global 2000 | 232 years old | Boston +19 more,Job Security,Promotions / Appraisal
280,KocharTech,4.1,IT Services & Consulting | 1k-5k Employees | 29 years old | Gurgaon/Gurugram +24 more,"Skill Development / Learning, Company Culture, Work Satisfaction",--
281,Huawei Technologies,4.0,Telecom | 51-200 Employees | 22 years old | Gurgaon/Gurugram +99 more,"Salary & Benefits, Skill Development / Learning",Job Security
282,Max Healthcare,4.2,Healthcare | 1k-5k Employees | Fortune India 500 | 23 years old | Delhi/NCR +56 more,"Skill Development / Learning, Job Security, Company Culture",--
283,McDonald's,4.2,Hospitality | 1k-5k Employees | Forbes Global 2000 | 69 years old | Chicago +134 more,"Skill Development / Learning, Company Culture, Job Security",--
284,Bajaj Allianz General Insurance,4.0,Insurance | 5k-10k Employees | Pune +212 more,"Skill Development / Learning, Company Culture, Job Security",--
285,Tata Technologies,3.8,Engineering & Construction | 5k-10k Employees | Conglomerate | 35 years old | Singapore +41 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
286,I Process Services,3.9,Recruitment | 1k-5k Employees | 19 years old | Mumbai +296 more,--,"Promotions / Appraisal, Salary & Benefits"
287,Taj Hotels Resorts and Palaces,4.2,Hospitality | 10k-50k Employees | 121 years old | Mumbai +93 more,"Job Security, Company Culture, Skill Development / Learning",--
288,Croma,4.1,Retail | 5k-10k Employees | 18 years old | Mumbai +139 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
289,ElasticRun,3.4,Logistics | 1k-5k Employees | Indian Unicorn | 8 years old | Pune +343 more,--,"Job Security, Promotions / Appraisal, Work Satisfaction"
290,HDFC Sales,4.1,Financial Services | 10k-50k Employees | 20 years old | Mumbai +278 more,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
291,Grasim Industries,4.1,Building Material | 10k-50k Employees | Public | 77 years old | Nagda +102 more,"Job Security, Skill Development / Learning, Company Culture",--
292,Landmark Group,4.1,Retail | 1k-5k Employees | Conglomerate | 51 years old | Dubai Marina +139 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
293,Nestle,4.2,Food Processing | 5k-10k Employees | Public | 65 years old | Vevey +229 more,"Job Security, Salary & Benefits, Skill Development / Learning",--
294,UNO Minda,4.1,Auto Components | 201-500 Employees | Fortune India 500 | 66 years old | Gurgaon +84 more,"Job Security, Skill Development / Learning, Company Culture",--
295,Walmart,4.0,Retail | 5k-10k Employees | Forbes Global 2000 | 15 years old | Bangalore/Bengaluru +78 more,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
296,Lava International,4.1,Consumer Electronics & Appliances | 1k-5k Employees | Public | 15 years old | Noida +212 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
297,AGS Health,4.0,BPO | 10k-50k Employees | 13 years old | Washington DC +37 more,"Job Security, Company Culture, Skill Development / Learning",--
298,Nokia,4.3,Telecom | 10k-50k Employees | Forbes Global 2000 | 159 years old | Espoo +150 more,"Company Culture, Work Life Balance, Job Security",--
299,Patanjali Ayurved,4.1,FMCG | 1k-5k Employees | Fortune India 500 | 18 years old | Haridwar +258 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
300,Blue Dart Express,4.1,Logistics | 10k-50k Employees | Public | 41 years old | Mumbai +234 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
301,Tractors and Farm Equipment,4.1,Industrial Machinery | 10k-50k Employees | Public | 64 years old | Chennai +166 more,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
302,Capgemini Engineering,3.6,10k-50k Employees | Gurgaon / Gurugram +21 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
303,G4S,4.1,Law Enforcement & Security | 1 Lakh+ Employees | 28 years old | Gurgaon/Gurugram +137 more,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
304,State Street Syntel,3.7,Financial Services | 501-1k Employees | 20 years old | Mumbai +21 more,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
305,Fortis Healthcare,4.1,Healthcare | 1k-5k Employees | Public | 28 years old | Gurgaon/Gurugram +59 more,"Skill Development / Learning, Job Security, Company Culture",--
306,Societe Generale,3.9,Financial Services | 1k-5k Employees | 24 years old | Bangalore/Bengaluru +16 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
307,BlackBuck,3.9,Internet | 1k-5k Employees | Indian Unicorn | 9 years old | Bangalore +312 more,Salary & Benefits,"Job Security, Promotions / Appraisal"
308,TVS Supply Chain Solutions,4.0,Logistics | 1k-5k Employees | 128 years old | Chennai +132 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
309,Fiserv,3.7,FinTech | 5k-10k Employees | Forbes Global 2000 | 40 years old | Brookfield +28 more,--,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
310,Britannia,4.1,FMCG | 1k-5k Employees | Public | 132 years old | Reading +232 more,"Job Security, Skill Development / Learning, Company Culture",--
311,KFintech,3.7,FinTech | 5k-10k Employees | Startup | 7 years old | Hyderabad +102 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
312,Micro Labs,3.7,Pharma | 10k-50k Employees | 51 years old | Bangalore/Bengaluru +122 more,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
313,Voltas,4.1,Consumer Electronics & Appliances | 1k-5k Employees | Public | 70 years old | Mumbai +173 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
314,Sterlite Technologies,3.8,Hardware & Networking | 1k-5k Employees | Public | 36 years old | Pune +77 more,--,Promotions / Appraisal
315,Shree Cement,4.0,Building Material | 5k-10k Employees | Public | 45 years old | Kolkata +198 more,Work Life Balance,Promotions / Appraisal
316,Exide Industries,3.6,Auto Components | 5k-10k Employees | Public | 77 years old | Kolkata +186 more,--,"Promotions / Appraisal, Company Culture, Work Satisfaction"
317,Kyndryl,4.1,IT Services & Consulting | 10k-50k Employees | Public | 3 years old | New York +25 more,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
318,Ola Cabs,3.5,Internet | 1k-5k Employees | Indian Unicorn | 14 years old | Bangalore +95 more,--,"Job Security, Promotions / Appraisal, Company Culture"
319,Yazaki,3.9,Auto Components | 10k-50k Employees | 83 years old | Tokyo +68 more,--,"Promotions / Appraisal, Salary & Benefits"
320,Radisson Hotels,4.1,Hospitality | 5k-10k Employees | 115 years old | Minnetonka +103 more,"Skill Development / Learning, Work Life Balance, Company Culture",--
321,Himalaya Wellness,4.2,Pharma | 5k-10k Employees | 94 years old | San Francisco +196 more,"Work Life Balance, Company Culture, Skill Development / Learning",--
322,Quest Global,3.7,IT Services & Consulting | 10k-50k Employees | 27 years old | Singapore +33 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
323,Dalmia Bharat Cement,4.0,Building Material | 5k-10k Employees | Public | 89 years old | Delhi/NCR +207 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
324,Lifestyle,4.4,Retail | 10k-50k Employees | Fortune India 500 | 25 years old | Bangalore/Bengaluru +109 more,"Company Culture, Job Security, Skill Development / Learning",--
325,IKS Health,3.6,Healthcare | 5k-10k Employees | 17 years old | Mumbai +16 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
326,Eureka Forbes,3.9,Consumer Electronics & Appliances | 1k-5k Employees | 42 years old | Mumbai +160 more,Skill Development / Learning,"Promotions / Appraisal, Job Security"
327,ACT Fibernet,4.1,Telecom | 5k-10k Employees | 16 years old | Bengaluru/Bangalore +42 more,"Job Security, Company Culture, Salary & Benefits",--
328,Ajanta Pharma,4.1,Pharma | 5k-10k Employees | Public | 51 years old | Mumbai +97 more,"Job Security, Company Culture, Work Life Balance",--
329,Blue Star,4.1,Consumer Electronics & Appliances | 1k-5k Employees | Public | 81 years old | Mumbai +132 more,"Company Culture, Skill Development / Learning, Work Satisfaction",--
330,Aditya Birla Group,4.1,Building Material | 1 Lakh+ Employees | Conglomerate | 167 years old | Mumbai +221 more,"Job Security, Skill Development / Learning, Company Culture",--
331,XpressBees,3.8,Logistics | 5k-10k Employees | Indian Unicorn | 9 years old | Pune +234 more,--,Promotions / Appraisal
332,Extramarks Education,3.5,EdTech | 1k-5k Employees | 17 years old | Noida +102 more,--,"Job Security, Promotions / Appraisal, Work Satisfaction"
333,Nokia Networks,4.3,Hardware & Networking | 501-1k Employees | Chennai +84 more,"Company Culture, Work Life Balance, Work Satisfaction",--
334,DS Group,4.1,FMCG | 1k-5k Employees | Conglomerate | 95 years old | Noida +200 more,"Work Life Balance, Job Security",Promotions / Appraisal
335,Motilal Oswal Financial Services,3.8,Financial Services | 5k-10k Employees | Public | 37 years old | Mumbai +125 more,Skill Development / Learning,Promotions / Appraisal
336,Sonalika Tractors,3.8,Automobile | 1k-5k Employees | 55 years old | Hoshiarpur +150 more,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
337,Mahindra Rural Housing Finance,4.1,NBFC | 10k-50k Employees | Public | 17 years old | Mumbai +410 more,"Company Culture, Work Life Balance, Job Security",--
338,Life Insurance Corporation of India,4.4,Insurance | 1 Lakh+ Employees | Fortune India 500 | 68 years old | Mumbai +409 more,"Work Life Balance, Company Culture, Salary & Benefits",--
339,Cholamandalam MS General Insurance,3.9,Insurance | 1k-5k Employees | 23 years old | Chennai +329 more,--,Promotions / Appraisal
340,Zomato,3.7,Internet | 1k-5k Employees | Public | 16 years old | Gurgaon / Gurugram +170 more,--,"Promotions / Appraisal, Job Security"
341,Delhi Public School,3.9,Education & Training | 1k-5k Employees | Public | 26 years old | New Delhi +233 more,Skill Development / Learning,--
342,Future Retail,4.3,Retail | 10k-50k Employees | Public | 37 years old | Gurgaon / Gurugram +196 more,"Skill Development / Learning, Company Culture, Work Satisfaction",--
343,Mahindra Logistics,4.1,Logistics | 1k-5k Employees | Public | 24 years old | Pune +121 more,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
344,PVR Cinemas,4.1,Media & Entertainment | 1k-5k Employees | Public | 27 years old | Gurgaon / Gurugram +104 more,"Skill Development / Learning, Job Security, Company Culture",--
345,Indus Towers,4.0,Telecom | 1k-5k Employees | Fortune India 500 | 17 years old | Gurgaon / Gurugram +155 more,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
346,JMC Projects,4.2,Engineering & Construction | 1k-5k Employees | Public | 42 years old | Mumbai +118 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
347,Rivigo,3.9,Internet | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon / Gurugram +151 more,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits"
